Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BTCBUSD_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,ETHBUSD_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,BNBBUSD_Volume
2020-04-08,7201.52000000,7425.00000000,7153.06000000,7372.16000000,4156.92105900,164.57000000,174.67000000,163.57000000,173.41000000,16076.49605000,14.69000000,15.35690000,14.57010000,15.10740000,63049.60000000
2020-04-09,7372.12000000,7378.72000000,7118.88000000,7293.80000000,3011.97662900,173.31000000,173.55000000,165.30000000,169.79000000,14620.85875000,15.10740000,15.23450000,14.64910000,15.05260000,33899.78000000
2020-04-10,7293.79000000,7303.24000000,6750.00000000,6867.80000000,6042.59914200,169.79000000,170.35000000,152.33000000,158.02000000,27834.11387000,15.02200000,15.08040000,13.45380000,13.75430000,123915.46000000
2020-04-11,6867.90000000,6951.72000000,6770.70000000,6886.37000000,2719.81250300,158.14000000,161.70000000,154.15000000,158.69000000,19921.42072000,13.75450000,14.11220000,13.56380000,13.81140000,40376.23000000
2020-04-12,6886.74000000,7194.98000000,6790.14000000,6912.70000000,3674.51593700,158.71000000,165.24000000,155.24000000,158.72000000,20003.60893000,13.84600000,14.87500000,13.67570000,14.28580000,68319.04000000
2020-04-13,6909.04000000,6909.96000000,6581.35000000,6855.31000000,5990.02669000,158.68000000,159.35000000,150.00000000,156.82000000,21841.60353000,14.28570000,15.12690000,13.64790000,15.04080000,119724.40000000
2020-04-14,6855.01000000,6988.06000000,6749.43000000,6877.23000000,4141.46920000,156.76000000,162.18000000,155.55000000,158.69000000,18475.50059000,15.04320000,15.99480000,14.82500000,15.62530000,97452.54000000
2020-04-15,6877.22000000,6939.47000000,6610.70000000,6622.99000000,4260.42327200,158.47000000,161.45000000,151.87000000,152.79000000,17687.89639000,15.61820000,15.87160000,14.50000000,14.56210000,72702.52000000
2020-04-16,6623.01000000,7208.52000000,6476.78000000,7112.49000000,8371.30751500,152.72000000,175.06000000,148.46000000,172.56000000,32961.77071000,14.56220000,15.77550000,14.12720000,15.73630000,83515.66000000
2020-04-17,7114.28000000,7152.00000000,6996.61000000,7033.72000000,3727.08961400,172.58000000,175.05000000,168.48000000,170.82000000,13339.90309000,15.73630000,15.94990000,15.26110000,15.64830000,60171.69000000
2020-04-18,7033.45000000,7303.20000000,7022.53000000,7259.30000000,2951.78179900,170.82000000,189.81000000,170.79000000,187.95000000,24304.78965000,15.64830000,16.82760000,15.64830000,16.63000000,70637.09000000
2020-04-19,7259.50000000,7274.19000000,7062.56000000,7131.31000000,3472.18821100,187.79000000,188.57000000,176.23000000,180.34000000,17985.59389000,16.63260000,16.68200000,15.87200000,16.08490000,53910.13000000
